Plant_Code,Site,Bee_Count,Treatment_Code,Mold,Insecticide,Sugar,Paint,julDate,julWeek,Month,Day,Time,min_day,Temp_F,Wind_mph,Conditions,Barometric,Humidity,BranchTemp1,BranchTemp2,BranchTemp3,AvgBranchTempF,AvgBranchTempC
C14,C,0,55,0,0,0,1,69,10,Mar,9,2:30:00 PM,870,81,1,Full Sun,29,13,,,,,
C15,C,0,55,0,0,0,1,69,10,Mar,9,1:56:00 PM,836,81,1,Full Sun,29,13,86,81,82,83,28.3
C15,C,0,55,0,0,0,1,69,10,Mar,9,10:12:00 AM,612,72,1,Full Sun,29,17,,,,,
C16,C,0,56,0,0,1,0,69,10,Mar,9,1:23:00 PM,803,78,2,Full Sun,29,12,86,85,87,86,30
C16,C,0,56,0,0,1,0,69,10,Mar,9,11:06:00 AM,666,71,2,Full Sun,29,16,,,,,
C17,C,2,56,0,0,1,0,69,10,Mar,9,10:43:00 AM,643,72,1,Full Sun,29,17,83,79,77,79.7,26.5
C17,C,3,56,0,0,1,0,69,10,Mar,9,2:20:00 PM,860,81,1,Full Sun,29,13,,,,,
C18,C,0,56,0,0,1,0,69,10,Mar,9,10:25:00 AM,625,72,1,Full Sun,29,17,79,82,76,79,26.1
C18,C,3,56,0,0,1,0,69,10,Mar,9,2:39:00 PM,879,81,1,Full Sun,29,13,,,,,
C19,C,1,57,0,0,1,1,69,10,Mar,9,11:31:00 AM,691,78,1,Full Sun,29,16,83,82,83,82.7,28.2
C19,C,0,57,0,0,1,1,69,10,Mar,9,2:28:00 PM,868,81,1,Full Sun,29,13,,,,,
C20,C,1,57,0,0,1,1,69,10,Mar,9,1:44:00 PM,824,81,1,Full Sun,29,13,76,84,83,81,27.2
C20,C,2,57,0,0,1,1,69,10,Mar,9,11:04:00 AM,664,71,2,Full Sun,29,16,,,,,
C21,C,1,57,0,0,1,1,69,10,Mar,9,1:45:00 PM,825,81,1,Full Sun,29,13,84,77,72,77.7,25.4
C21,C,0,57,0,0,1,1,69,10,Mar,9,11:36:00 AM,696,78,1,Full Sun,29,16,,,,,
